KEGGID	HMDBID
cpd:C00796	hmdb:HMDB14411
cpd:C00797	hmdb:HMDB13231
cpd:C00798	hmdb:HMDB03419
cpd:C00800	hmdb:HMDB03290
cpd:C00803	hmdb:HMDB00892
cpd:C00804	hmdb:HMDB06804
cpd:C00805	hmdb:HMDB01895
cpd:C00806	hmdb:HMDB30396
cpd:C00808	hmdb:HMDB59838
cpd:C00811	hmdb:HMDB02035
cpd:C00813	hmdb:HMDB41833
cpd:C00814	hmdb:HMDB02338
cpd:C00815	hmdb:HMDB00426
cpd:C00818	hmdb:HMDB00663
cpd:C00818	hmdb:HMDB29881
cpd:C00819	hmdb:HMDB03423
cpd:C00822	hmdb:HMDB01229
cpd:C00822	hmdb:HMDB39119
cpd:C00823	hmdb:HMDB03424
cpd:C00827	hmdb:HMDB02346
cpd:C00828	hmdb:HMDB30017
cpd:C00829	hmdb:HMDB29751
cpd:C00830	hmdb:HMDB31522
cpd:C00831	hmdb:HMDB03426
cpd:C00832	hmdb:HMDB15490
cpd:C00835	hmdb:HMDB00238
cpd:C00836	hmdb:HMDB00269
cpd:C00840	hmdb:HMDB01980
cpd:C00841	hmdb:HMDB29457
cpd:C00842	hmdb:HMDB01328
cpd:C00843	hmdb:HMDB35162
cpd:C00844	hmdb:HMDB34934
cpd:C00846	hmdb:HMDB00398
cpd:C00847	hmdb:HMDB00017
cpd:C00849	hmdb:HMDB31217
cpd:C00850	hmdb:HMDB60015
cpd:C00852	hmdb:HMDB03164
cpd:C00852	hmdb:HMDB40690
cpd:C00853	hmdb:HMDB03429
cpd:C00857	hmdb:HMDB01179
cpd:C00858	hmdb:HMDB05808
cpd:C00860	hmdb:HMDB03431
cpd:C00861	hmdb:HMDB10207
cpd:C00864	hmdb:HMDB00210
cpd:C00870	hmdb:HMDB01232
cpd:C00872	hmdb:HMDB01147
cpd:C00877	hmdb:HMDB02009
cpd:C00877	hmdb:HMDB59627
cpd:C00878	hmdb:HMDB00539
cpd:C00879	hmdb:HMDB00639
cpd:C00880	hmdb:HMDB00565
cpd:C00881	hmdb:HMDB00014
cpd:C00882	hmdb:HMDB01373
cpd:C00884	hmdb:HMDB00745
cpd:C00887	hmdb:HMDB35807
cpd:C00888	hmdb:HMDB13037
cpd:C00894	hmdb:HMDB02307
cpd:C00897	hmdb:HMDB37138
cpd:C00898	hmdb:HMDB00956
cpd:C00899	hmdb:HMDB06216
cpd:C00900	hmdb:HMDB06833
cpd:C00902	hmdb:HMDB01864
cpd:C00903	hmdb:HMDB03441
cpd:C00906	hmdb:HMDB00079
cpd:C00909	hmdb:HMDB01337
cpd:C00913	hmdb:HMDB11600
cpd:C00916	hmdb:HMDB60450
cpd:C00918	hmdb:HMDB14589
cpd:C00921	hmdb:HMDB01412
cpd:C00922	hmdb:HMDB36232
cpd:C00925	hmdb:HMDB00693
cpd:C00931	hmdb:HMDB00245
cpd:C00933	hmdb:HMDB29379
cpd:C00935	hmdb:HMDB12303
cpd:C00937	hmdb:HMDB06458
cpd:C00940	hmdb:HMDB01552
cpd:C00942	hmdb:HMDB01314
cpd:C00944	hmdb:HMDB12710
cpd:C00946	hmdb:HMDB11617
cpd:C00951	hmdb:HMDB00151
cpd:C00954	hmdb:HMDB00197
cpd:C00955	hmdb:HMDB03447
cpd:C00956	hmdb:HMDB00510
cpd:C00957	hmdb:HMDB01368
cpd:C00959	hmdb:HMDB02982
cpd:C00961	hmdb:HMDB30588
cpd:C00962	hmdb:HMDB03449
cpd:C00964	hmdb:HMDB03450
cpd:C00969	hmdb:HMDB03453
cpd:C00971	hmdb:HMDB03454
cpd:C00974	hmdb:HMDB30847
cpd:C00975	hmdb:HMDB02050
