Organisms	Organisms.1
fme	Fomitiporia mediterranea
gtr	Gloeophyllum trabeum
lbc	Laccaria bicolor
mpr	Moniliophthora perniciosa
mrr	Moniliophthora roreri
cci	Coprinopsis cinerea
scm	Schizophyllum commune
abp	Agaricus bisporus var. burnettii JB137-S8
abv	Agaricus bisporus var. bisporus H97
cput	Coniophora puteana
sla	Serpula lacrymans
wse	Wallemia mellicola
wic	Wallemia ichthyophaga
uma	Ustilago maydis
pfp	Anthracocystis flocculosa
mgl	Malassezia globosa
mrt	Malassezia restricta
msym	Malassezia sympodialis
pgr	Puccinia graminis
mlr	Melampsora larici-populina
ecu	Encephalitozoon cuniculi
ein	Encephalitozoon intestinalis
ehe	Encephalitozoon hellem
ero	Encephalitozoon romaleae
nce	Nosema ceranae
mbr	Monosiga brevicollis
sre	Salpingoeca rosetta
ddi	Dictyostelium discoideum (cellular slime mold)
dpp	Dictyostelium purpureum (cellular slime mold)
dfa	Cavenderia fasciculata (cellular slime mold)
ehi	Entamoeba histolytica
edi	Entamoeba dispar
eiv	Entamoeba invadens
acan	Acanthamoeba castellanii
pfa	Plasmodium falciparum 3D7
pfd	Plasmodium falciparum Dd2
pfh	Plasmodium falciparum HB3
pyo	Plasmodium yoelii
pcb	Plasmodium chabaudi
pbe	Plasmodium berghei
pkn	Plasmodium knowlesi
pvx	Plasmodium vivax
pcy	Plasmodium cynomolgi
tan	Theileria annulata
tpv	Theileria parva
tot	Theileria orientalis
beq	Theileria equi
bbo	Babesia bovis
bmic	Babesia microti
cpv	Cryptosporidium parvum
cho	Cryptosporidium hominis
tgo	Toxoplasma gondii
tet	Tetrahymena thermophila
ptm	Paramecium tetraurelia
smin	Breviolum minutum
pti	Phaeodactylum tricornutum
fcy	Fragilariopsis cylindrus
tps	Thalassiosira pseudonana
ngd	Nannochloropsis gaditana
aaf	Aureococcus anophagefferens
pif	Phytophthora infestans
psoj	Phytophthora sojae
spar	Saprolegnia parasitica
ehx	Emiliania huxleyi
gtt	Guillardia theta
tbr	Trypanosoma brucei brucei
tbg	Trypanosoma brucei gambiense
tcr	Trypanosoma cruzi
lma	Leishmania major
lif	Leishmania infantum
ldo	Leishmania donovani
lmi	Leishmania mexicana
lbz	Leishmania braziliensis
lpan	Leishmania panamensis
ngr	Naegleria gruberi
tva	Trichomonas vaginalis
gla	Giardia lamblia
eco	Escherichia coli K-12 MG1655
ecj	Escherichia coli K-12 W3110
ecd	Escherichia coli K-12 DH10B
ebw	Escherichia coli K-12 BW2952
ecok	Escherichia coli K-12 MDS42
ece	Escherichia coli O157:H7 EDL933 (EHEC)
ecs	Escherichia coli O157:H7 Sakai (EHEC)
