CHEBIID	KEGGID
chebi:28340	cpd:C02356
chebi:30566	cpd:C00334
chebi:11955	cpd:C03678
chebi:17126	cpd:C00487
chebi:11060	cpd:C15025
chebi:16347	cpd:C00318
chebi:75659	cpd:C02301
chebi:17490	cpd:C02990
chebi:18102	cpd:C02838
chebi:28717	cpd:C03299
chebi:57589	cpd:C02571
chebi:17159	cpd:C02290
chebi:28867	cpd:C03017
chebi:7676	cpd:C02862
chebi:10979	cpd:C04546
chebi:11047	cpd:C03197
chebi:10983	cpd:C01089
chebi:11951	cpd:C02946
chebi:49072	cpd:C04272
chebi:18262	cpd:C02679
chebi:17830	cpd:C01037
chebi:27689	cpd:C01571
chebi:15720	cpd:C04780
chebi:62638	cpd:C06001
chebi:37319	cpd:C00596
chebi:58022	cpd:C02217
chebi:37080	cpd:C00511
chebi:18021	cpd:C00074
chebi:16739	cpd:C01546
chebi:16193	cpd:C00587
chebi:17879	cpd:C00156
chebi:16632	cpd:C06672
chebi:30762	cpd:C00805
chebi:36658	cpd:C02657
chebi:34720	cpd:C14015
chebi:74155	cpd:C12458
chebi:36647	cpd:C06580
chebi:36654	cpd:C00196
chebi:36241	cpd:C00230
chebi:64694	cpd:C17554
chebi:64694	cpd:C17554
chebi:16918	cpd:C01424
chebi:17866	cpd:C01572
chebi:36558	cpd:C03986
chebi:36559	cpd:C00632
chebi:15992	cpd:C03203
chebi:16630	cpd:C02637
chebi:15980	cpd:C00522
chebi:61289	cpd:C11499
chebi:58764	cpd:C04171
chebi:32364	cpd:C00944
chebi:62223	cpd:C05839
chebi:71260	cpd:C13334
chebi:86001	cpd:C05406
chebi:8989	cpd:C11366
chebi:17861	cpd:C02370
chebi:28303	cpd:C02357
chebi:27839	cpd:C02359
chebi:28665	cpd:C02364
chebi:27893	cpd:C02371
chebi:17836	cpd:C00568
chebi:16567	cpd:C00108
chebi:36557	cpd:C03005
chebi:20109	cpd:C05831
chebi:36564	cpd:C04208
chebi:16803	cpd:C06332
chebi:17331	cpd:C03141
chebi:18277	cpd:C04302
chebi:17839	cpd:C00921
chebi:16150	cpd:C00180
chebi:20476	cpd:C02236
chebi:11935	cpd:C03993
chebi:20435	cpd:C00985
chebi:16639	cpd:C02519
chebi:36648	cpd:C02363
chebi:28872	cpd:C07215
chebi:28795	cpd:C07211
chebi:28856	cpd:C01454
chebi:25822	cpd:C06578
chebi:47319	cpd:C10943
chebi:81953	cpd:C18777
chebi:78396	cpd:C05848
chebi:15669	cpd:C00423
chebi:47893	cpd:C04415
chebi:47892	cpd:C06739
chebi:17708	cpd:C04634
chebi:30633	cpd:C00408
chebi:29751	cpd:C00296
chebi:30526	cpd:C01234
chebi:18052	cpd:C01512
chebi:17573	cpd:C02283
chebi:17425	cpd:C03564
chebi:15893	cpd:C04322
chebi:17388	cpd:C03912
chebi:134119	cpd:C17726
chebi:134116	cpd:C17647
chebi:16806	cpd:C03314
chebi:71201	cpd:C02470
chebi:35291	cpd:C00777
chebi:30938	cpd:C02954
chebi:58621	cpd:C12078
chebi:18123	cpd:C01004
chebi:49124	cpd:C03003
chebi:30960	cpd:C04773
chebi:30960	cpd:C04773
chebi:86003	cpd:C05654
chebi:140633	cpd:C06050
chebi:17318	cpd:C04205
chebi:61287	cpd:C02914
chebi:37569	cpd:C06082
chebi:62211	cpd:C06144
chebi:17536	cpd:C00499
chebi:64254	cpd:C17018
chebi:58769	cpd:C00450
chebi:73939	cpd:C17367
chebi:8025	cpd:C07707
chebi:85674	cpd:C04722
chebi:29032	cpd:C00864
chebi:27247	cpd:C00785
chebi:136067	cpd:C03071
chebi:141763	cpd:C02919
chebi:16383	cpd:C00417
chebi:15708	cpd:C02341
chebi:16947	cpd:C00158
chebi:30904	cpd:C05662
chebi:15404	cpd:C05662
chebi:15593	cpd:C01990
chebi:16087	cpd:C00311
chebi:15562	cpd:C00451
chebi:15563	cpd:C04617
chebi:29807	cpd:C02284
chebi:29807	cpd:C02284
chebi:36457	cpd:C01251
chebi:15598	cpd:C02225
chebi:10860	cpd:C02225
chebi:142690	cpd:C05364
chebi:86002	cpd:C05641
chebi:2009	cpd:C05655
chebi:2013	cpd:C05656
chebi:29746	cpd:C01921
chebi:67040	cpd:C00019
chebi:29123	cpd:C01250
chebi:15877	cpd:C01513
chebi:18188	cpd:C03284
chebi:17544	cpd:C00288
chebi:28163	cpd:C06227
chebi:5019	cpd:C06228
chebi:16301	cpd:C00088
chebi:25941	cpd:C16845
chebi:18210	cpd:C01818
chebi:55327	cpd:C18091
chebi:16215	cpd:C06701
chebi:18036	cpd:C00536
chebi:18367	cpd:C00009
chebi:18361	cpd:C00013
chebi:16838	cpd:C00404
chebi:29125	cpd:C11215
chebi:29866	cpd:C06697
chebi:16223	cpd:C07308
chebi:16223	cpd:C07308
chebi:15987	cpd:C01861
chebi:16189	cpd:C00059
chebi:133663	cpd:C09908
chebi:17137	cpd:C11481
chebi:15226	cpd:C02084
chebi:9341	cpd:C01615
chebi:33541	cpd:C00320
chebi:33539	cpd:C00320
chebi:15942	cpd:C06333
chebi:33565	cpd:C06336
chebi:20478	cpd:C06674
chebi:34653	cpd:C14078
chebi:9407	cpd:C05465
chebi:36261	cpd:C05463
chebi:62081	cpd:C15521
chebi:1418	cpd:C11321
chebi:3024	cpd:C06011
chebi:24279	cpd:C17260
chebi:62724	cpd:C08422
chebi:62725	cpd:C08423
chebi:64962	cpd:C05837
chebi:64965	cpd:C08424
chebi:5399	cpd:C08404
chebi:5414	cpd:C08418
chebi:5407	cpd:C08412
chebi:5406	cpd:C08411
chebi:5400	cpd:C08405
chebi:5402	cpd:C08407
chebi:5403	cpd:C08408
chebi:5404	cpd:C08409
chebi:5405	cpd:C08410
chebi:5401	cpd:C08406
chebi:5396	cpd:C08401
chebi:9162	cpd:C08427
chebi:5411	cpd:C08415
chebi:5416	cpd:C08420
chebi:8454	cpd:C08425
chebi:5397	cpd:C08403
chebi:5412	cpd:C08416
chebi:5413	cpd:C08417
chebi:5409	cpd:C08414
chebi:9151	cpd:C08426
chebi:80987	cpd:C17250
chebi:80988	cpd:C17252
chebi:80989	cpd:C17254
chebi:81000	cpd:C17273
chebi:81001	cpd:C17274
chebi:81002	cpd:C17275
chebi:18212	cpd:C05684
chebi:46442	cpd:C11627
chebi:36264	cpd:C06232
chebi:17514	cpd:C00177
chebi:29195	cpd:C01417
chebi:38904	cpd:C19067
chebi:18421	cpd:C00704
chebi:18421	cpd:C00704
chebi:28199	cpd:C06230
chebi:71358	cpd:C04894
chebi:71358	cpd:C04894
chebi:76533	cpd:C15541
chebi:78717	cpd:C02467
chebi:78718	cpd:C02200
chebi:60721	cpd:C17432
chebi:29039	cpd:C04482
chebi:73332	cpd:C05977
chebi:73327	cpd:C15647
chebi:18272	cpd:C04376
chebi:77713	cpd:C13773
chebi:15832	cpd:C01010
chebi:40646	cpd:C16421
chebi:9495	cpd:C11160
chebi:17179	cpd:C02592
chebi:35280	cpd:C10172
chebi:17311	cpd:C03793
chebi:15786	cpd:C01259
chebi:28513	cpd:C05690
chebi:4658	cpd:C07740
chebi:32006	cpd:C12839
chebi:2417	cpd:C08201
chebi:5700	cpd:C07510
chebi:44296	cpd:C07512
chebi:35009	cpd:C13815
chebi:17059	cpd:C02224
chebi:17059	cpd:C02224
chebi:15354	cpd:C00114
chebi:15354	cpd:C00114
chebi:16822	cpd:C00919
chebi:16822	cpd:C00919
chebi:16870	cpd:C00670
chebi:28781	cpd:C04862
chebi:27712	cpd:C04873
chebi:17504	cpd:C04230
chebi:28468	cpd:C04102
chebi:16728	cpd:C04233
chebi:28733	cpd:C04100
chebi:28610	cpd:C03916
chebi:30909	cpd:C04317
chebi:17832	cpd:C04517
chebi:34114	cpd:C13903
chebi:17810	cpd:C00958
chebi:34110	cpd:C13895
chebi:34112	cpd:C13894
chebi:36702	cpd:C05212
chebi:28894	cpd:C05208
chebi:36707	cpd:C04598
chebi:73001	cpd:C13875
chebi:58293	cpd:C01282
chebi:34119	cpd:C13898
chebi:34121	cpd:C13900
chebi:34120	cpd:C13901
chebi:34122	cpd:C13902
chebi:34084	cpd:C13876
chebi:18132	cpd:C00588
chebi:18132	cpd:C00588
chebi:16436	cpd:C00307
chebi:4753	cpd:C06975
chebi:62490	cpd:C00550
chebi:52897	cpd:C03640
chebi:17636	cpd:C00550
chebi:1941	cpd:C01181
chebi:1774	cpd:C04114
chebi:6804	cpd:C07471
chebi:41934	cpd:C11733
chebi:9701	cpd:C07861
chebi:3424	cpd:C00487
chebi:16758	cpd:C02636
chebi:16758	cpd:C02636
chebi:15960	cpd:C02571
chebi:9939	cpd:C07553
chebi:8884	cpd:C07556
chebi:45652	cpd:C07546
chebi:2627	cpd:C07773
chebi:2914	cpd:C07548
chebi:3172	cpd:C06855
chebi:3084	cpd:C06850
chebi:3743	cpd:C07853
chebi:4706	cpd:C07549
chebi:251408	cpd:C06976
chebi:5956	cpd:C07052
chebi:7347	cpd:C06459
chebi:444	cpd:C06163
chebi:16512	cpd:C02915
chebi:141633	cpd:C21586
chebi:50537	cpd:C05318
chebi:35287	cpd:C01777
chebi:15355	cpd:C01996
chebi:16353	cpd:C00933
chebi:16353	cpd:C00933
chebi:67049	cpd:C05575
chebi:15870	cpd:C07345
chebi:28825	cpd:C08263
chebi:17750	cpd:C00719
chebi:17750	cpd:C00719
chebi:4828	cpd:C05570
chebi:82707	cpd:C05570
chebi:1556	cpd:C10151
chebi:85533	cpd:C08269
chebi:5832	cpd:C09213
chebi:15781	cpd:C05575
chebi:5757	cpd:C08283
chebi:9119	cpd:C09241
chebi:8653	cpd:C01748
chebi:15710	cpd:C00576
chebi:15710	cpd:C00576
chebi:7514	cpd:C07258
chebi:49183	cpd:C00157
chebi:16110	cpd:C00157
chebi:15726	cpd:C04636
chebi:16999	cpd:C04792
chebi:34082	cpd:C13875
chebi:17848	cpd:C01282
chebi:16692	cpd:C02872
chebi:18054	cpd:C01573
chebi:18054	cpd:C01573
chebi:6641	cpd:C09581
chebi:81850	cpd:C18585
chebi:141639	cpd:C21587
chebi:141640	cpd:C21588
chebi:141642	cpd:C21589
chebi:64258	cpd:C06616
chebi:65010	cpd:C17582
chebi:65068	cpd:C17589
chebi:16475	cpd:C04692
chebi:16475	cpd:C04692
chebi:9501	cpd:C11316
chebi:44880	cpd:C11152
chebi:28938	cpd:C01342
chebi:28938	cpd:C01342
chebi:16366	cpd:C02003
chebi:16366	cpd:C02003
chebi:27475	cpd:C08647
chebi:16596	cpd:C12646
chebi:28426	cpd:C08604
chebi:3978	cpd:C08639
chebi:28064	cpd:C08620
chebi:32115	cpd:C12647
chebi:31121	cpd:C12641
chebi:31966	cpd:C12640
chebi:55334	cpd:C16301
chebi:55455	cpd:C16312
chebi:55336	cpd:C16304
chebi:55335	cpd:C16303
chebi:55456	cpd:C16314
chebi:31965	cpd:C12642
chebi:31442	cpd:C12643
chebi:31463	cpd:C12138
chebi:31968	cpd:C12644
chebi:31969	cpd:C12645
chebi:74793	cpd:C12141
chebi:74793	cpd:C12141
chebi:75030	cpd:C08718
chebi:29560	cpd:C12095
chebi:75677	cpd:C16370
chebi:31985	cpd:C12139
chebi:31799	cpd:C12140
chebi:28215	cpd:C08629
chebi:6972	cpd:C08723
chebi:38695	cpd:C02003
chebi:6417	cpd:C05909
chebi:15758	cpd:C05906
chebi:11412	cpd:C05906
chebi:27686	cpd:C05907
chebi:17343	cpd:C03648
chebi:17343	cpd:C03648
chebi:5067	cpd:C09736
chebi:80488	cpd:C16415
chebi:15764	cpd:C06361
chebi:55410	cpd:C15540
chebi:74809	cpd:C20489
chebi:74810	cpd:C20491
chebi:74811	cpd:C20490
chebi:134007	cpd:C16305
chebi:4383	cpd:C08640
chebi:5319	cpd:C08641
chebi:5630	cpd:C08642
chebi:6665	cpd:C08653
chebi:133365	cpd:C08725
chebi:29561	cpd:C12096
chebi:31220	cpd:C12129
chebi:31216	cpd:C12130
chebi:31217	cpd:C12131
chebi:31218	cpd:C12132
chebi:31219	cpd:C12133
chebi:79976	cpd:C15550
chebi:80424	cpd:C16288
chebi:80425	cpd:C16289
chebi:80426	cpd:C16290
chebi:80428	cpd:C16292
chebi:80429	cpd:C16293
chebi:80430	cpd:C16294
chebi:80431	cpd:C16295
chebi:80432	cpd:C16296
chebi:80433	cpd:C16297
chebi:80434	cpd:C16298
chebi:80435	cpd:C16299
chebi:80436	cpd:C16302
chebi:80438	cpd:C16306
chebi:80439	cpd:C16307
chebi:80440	cpd:C16313
chebi:80441	cpd:C16315
chebi:80466	cpd:C16349
chebi:80467	cpd:C16350
chebi:80468	cpd:C16351
chebi:80469	cpd:C16354
chebi:80474	cpd:C16367
chebi:80475	cpd:C16368
chebi:80476	cpd:C16369
chebi:80477	cpd:C16371
chebi:80478	cpd:C16372
chebi:80479	cpd:C16373
chebi:31967	cpd:C12137
chebi:138860	cpd:C20493
chebi:138864	cpd:C20496
chebi:138820	cpd:C20494
chebi:3367	cpd:C08595
chebi:6674	cpd:C08716
chebi:25863	cpd:C05904
chebi:75314	cpd:C08726
chebi:28090	cpd:C08646
chebi:5728	cpd:C08643
chebi:8893	cpd:C08729
chebi:27843	cpd:C05905
chebi:27898	cpd:C08612
chebi:28436	cpd:C05908
chebi:6584	cpd:C08652
chebi:75318	cpd:C08727
chebi:8354	cpd:C07400
chebi:641	cpd:C11310
chebi:16797	cpd:C02918
chebi:8665	cpd:C07410
chebi:80756	cpd:C16823
chebi:82589	cpd:C19603
chebi:17993	cpd:C04446
chebi:6851	cpd:C01223
chebi:9494	cpd:C11622
chebi:8687	cpd:C07412
chebi:81320	cpd:C17757
chebi:17685	cpd:C07344
chebi:8944	cpd:C04425
chebi:9066	cpd:C05691
chebi:17031	cpd:C06327
chebi:15716	cpd:C05193
chebi:17101	cpd:C06165
chebi:18363	cpd:C06167
chebi:27435	cpd:C06178
chebi:34905	cpd:C14701
chebi:9533	cpd:C01081
chebi:48522	cpd:C15976
chebi:1463	cpd:C05381
chebi:978	cpd:C05125
chebi:9532	cpd:C00068
chebi:9534	cpd:C03028
chebi:64163	cpd:C18577
chebi:36121	cpd:C15549
chebi:77058	cpd:C18872
chebi:78373	cpd:C12227
chebi:1643	cpd:C02517
chebi:16480	cpd:C00533
chebi:29415	cpd:C18368
chebi:29191	cpd:C16844
chebi:16504	cpd:C01041
chebi:16504	cpd:C01041
chebi:15817	cpd:C05309
chebi:17977	cpd:C02389
chebi:16240	cpd:C00027
chebi:17045	cpd:C00887
chebi:30563	cpd:C19572
chebi:46727	cpd:C16459
chebi:50818	cpd:C19555
chebi:18422	cpd:C09306
chebi:30045	cpd:C19308
